"constituency","fat","events.org","ethnic.het","kikuyu","population","poverty","change.pov","odinga","pol.comp"
"AINAMOI",40,1,-0.126832979040311,0.36,145.114,0.371,-0.250480529578324,8.82,-0.651768932764448
"ALDAI",0,0,0.367171919101235,0.167,173.427,0.464,0.0890564618724819,8.4,-0.451874529417064
"ALEGO",0,0,-0.946670895105005,0.005,190.949,0.418,-1.41107970035562,9.95,-1.23757058701859
"AMAGORO",0,0,0.94526275735198,0.072,252.687,0.586,0.737263445551293,8.67,-0.604571643085205
"BAHARI",0,0,-0.589305649640908,0.067,260.733,0.578,-0.0961455334643213,7.49,-0.0382041669342822
"BARINGO CENTRAL",13,1,-0.193401014960094,0.72,169.793,0.552,0.984199439333697,9.03,-0.812794979905396
"BARINGO EAST",0,0,-0.193401014960094,0.72,90.705,0.725,1.25582903249434,3.38,0.697518289830396
"BARINGO NORTH",0,1,-0.193401014960094,0.72,116.918,0.551,0.996546239022817,9.51,-1.01268938325278
"BELGUT",0,0,-0.126832979040311,0.36,152.004,0.486,0.212524458763684,9.34,-0.937728981997512
"BOBASI",0,0,-1.1148427753234,0.014,181.752,0.676,0.521194450991689,5.43,1.16393856430763
"BOMACHOGE",0,0,-1.1148427753234,0.014,191.339,0.673,0.502674251458009,3.95,0.977925716748255
"BOMET",6,1,-0.126832979040311,0.36,188.329,0.585,0.650835847727451,9.5,-1.01546569441038
"BONCHARI",0,0,-1.1148427753234,0.014,93.528,0.624,-0.460376124293367,5.44,1.15838594199242
"BONDO",0,0,-0.946670895105005,0.005,130.169,0.251,-2.56550547128836,9.98,-1.2458995204914
"BUDALANGI",6,1,0.94526275735198,0.072,76.845,0.685,0.156963860162643,6.14,0.833557536552922
"BUMULA",0,0,-0.133840140716078,0.111,222.754,0.36,-0.750525916987692,2.71,0.292176860820423
"BURA",0,0,1.78612215844397,0.249,99.045,0.606,2.0830646116654,2.05,0.669755178254371
"BURET",0,0,-0.126832979040311,0.36,201.976,0.318,-0.818433315277853,9.5,-1.02101831672559
"BUTERE",0,0,-0.862584954995806,0.083,137.187,0.532,-0.417162325381447,8.46,-0.496295507938705
"BUTULA",1,1,0.94526275735198,0.072,137.496,0.711,0.298952056587525,8.98,-0.748939823280538
"CENTRAL IMENTI",0,0,-0.505219709531708,0.143,151.586,0.239,-0.991288510925536,0.25,-1.07932085103524
"CHANGAMWE",6,1,1.99283342787909,1.253,269.415,0.385,-0.207266730666403,5.43,0.808570736134499
"CHEPALUNGU",0,0,-0.126832979040311,0.36,127.62,0.628,0.638489048038331,9.37,-0.965492093573537
"CHERANGANY",0,0,1.31664232616761,0.958,218.415,0.52,0.440940253012408,4.91,1.48599065858952
"DAGORETTI",14,1,1.90874748776989,3.237,315.095,0.236,-1.13945010719498,3.34,0.736386646036832
"DUJIS",0,0,-0.214422499987394,0.14,105.829,0.758,1.21261523358242,5.09,1.27499101061173
"ELDAMA RAVINE",24,1,-0.193401014960094,0.72,120.07,0.576,0.866904842287055,7.05,0.208887526092346
"ELDORET EAST",60,1,1.29562084114031,1.69,207.793,0.379,-0.0405849348632803,8.05,-0.232545947966461
"ELDORET NORTH",0,0,1.29562084114031,1.69,335.552,0.486,-0.0961455334643213,7.57,0.0256509896905768
"ELDORET SOUTH",13,1,1.29562084114031,1.69,217.678,0.449,-0.0158913354850399,7.28,0.206111214934743
"EMBAKASI",2,1,1.90874748776989,3.237,569.811,0.207,-1.00980871045922,3.54,1.07787291842195
"EMGWEN",0,0,0.367171919101235,0.167,223.535,0.436,0.126096860939843,8.41,-0.437992973629051
"EMUHAYA",0,1,-0.862584954995806,0.083,200.588,0.42,-0.880167313723454,6.4,0.544821176162256
"FAFI",0,0,-0.214422499987394,0.14,85.686,0.462,-0.725832317609452,4.66,1.36105665649741
"FUNYULA",0,0,0.94526275735198,0.072,106.4,0.707,0.298952056587525,6.24,0.741939268352037
"GACHOKA",0,0,0.983802146568696,0.551,119.877,0.468,-0.528283522583529,0.21,-0.507400752569115
"GALOLE",3,1,1.78612215844397,0.249,72.095,0.825,2.73127159534421,5.48,1.18614905356845
"GANZE",0,0,-0.589305649640908,0.067,124.518,0.784,-0.120839132842562,7.82,-0.102059323559141
"GARSEN",0,0,1.78612215844397,0.249,102.698,0.846,2.83004599285717,2.6,1.47210910280151
"GATANGA",1,1,-0.953678056780771,9.586,179.787,0.357,0.292778656742965,0.1,-1.02379462788319
"GATUNDU NORTH",0,0,-0.445658835287692,8.798,114.878,0.341,0.0458426629605612,0.03,-1.18759698618174
"GATUNDU SOUTH",3,1,-0.445658835287692,8.798,131.319,0.285,0.0890564618724819,0.08,-1.20980747544256
"GEM",0,0,-0.946670895105005,0.005,159.116,0.418,-1.41725310020018,9.9,-1.21536009775777
"GICHUGU",0,0,-1.05878548191727,9.704,144.281,0.245,-0.380121926314086,0.11,-1.15705756344811
"GITHUNGURI",0,0,-0.445658835287692,8.798,179.582,0.243,0.206351058919124,0.1,-1.17649174155133
"GWASSI",0,0,0.216517943072252,0.014,78.114,0.5,-0.725832317609452,9.91,-1.21813640891537
"HAMISI",0,0,-0.862584954995806,0.083,169.069,0.412,-0.873993913878894,7.02,0.283847927347615
"IGEMBE",0,0,-0.505219709531708,0.143,227.179,0.332,-1.21970430517426,0.33,-1.02101831672559
"IJARA",0,0,-0.214422499987394,0.14,42.33,0.743,0.928638840732656,4.26,1.12507020810119
"IKOLOMANI",0,0,-0.862584954995806,0.083,94.997,0.617,-0.392468726003206,6.81,0.436545041015756
"ISIOLO NORTH",0,0,1.85619377520164,0.286,87.61,0.637,1.25582903249434,4.39,1.21113585398687
"ISIOLO SOUTH",0,0,1.85619377520164,0.286,26.088,0.611,0.644662447882891,3.3,0.711399845618409
"JUJA",1,1,-0.445658835287692,8.798,297.319,0.34,-0.083798733775201,1.15,-0.485190263308294
"KABETE",0,0,-0.445658835287692,8.798,255.745,0.164,0.218697858608244,0.34,-1.032123561356
"KACHELIBA",0,0,-0.27398337423141,0.272,73.018,0.625,1.20644183373786,1.21,0.822452291922512
"KAITI",0,0,-1.0307568352142,0.121,146.104,0.667,0.292778656742965,0.09,1.44434599122549
"KAJIADO CENTRAL",0,0,1.14496686511133,2.376,108.097,0.129,-1.92347188745411,6.26,0.628110510890332
"KAJIADO NORTH",14,1,1.14496686511133,2.376,237.507,0.107,-1.55306789678051,3.17,0.694741978672794
"KAJIADO SOUTH",0,0,1.14496686511133,2.376,141.095,0.139,-2.00372608543339,3.34,0.889083759704973
"KALOLENI",0,0,-0.589305649640908,0.067,218.621,0.677,-0.151706132065362,5.27,1.19447798704125
"KANDARA",0,0,-0.953678056780771,9.586,181.196,0.342,0.095229861717042,0.04,-1.20980747544256
"KANDUYI",0,0,-0.133840140716078,0.111,173.833,0.659,0.55206145021449,3.68,0.905741626650588
"KANGEMA",0,0,-0.953678056780771,9.586,83.851,0.301,0.150790460318083,0.09,-1.18482067502414
"KANGUNDO",0,0,-1.0307568352142,0.121,253.203,0.568,0.095229861717042,0.12,1.23612265440529
"KAPENGURIA",0,0,-0.27398337423141,0.272,160.217,0.697,1.28052263187258,9.01,-0.746163512122935
"KARACHUONYO",0,0,0.216517943072252,0.014,165.56,0.4,-1.73209649227275,9.97,-1.2458995204914
"KASARANI",0,0,1.90874748776989,3.237,443.874,0.242,-1.20118410564058,4.15,1.16393856430763
"KASIPUL-KABONDO",0,0,0.216517943072252,0.014,133.68,0.702,-1.71974969258363,9.92,-1.22646534238818
"KATHIANI",0,0,-1.0307568352142,0.121,190.875,0.548,-0.00971793564047978,0.86,1.4637801693287
"KEIYO NORTH",0,0,-0.65587368556069,0.298,76.021,0.469,0.601448648970971,9.52,-1.0293472501984
"KEIYO SOUTH",0,0,-0.65587368556069,0.298,117.723,0.439,0.59527524912641,9.12,-0.835005469166217
"KERUGOYA/KUTUS",0,0,-1.05878548191727,9.704,123.843,0.237,-0.343081527246725,0.1,-1.10153134029606
"KHWISERO",0,0,-0.862584954995806,0.083,108.39,0.537,-0.392468726003206,8.22,-0.365808883531384
"KIAMBAA",5,1,-0.445658835287692,8.798,247.23,0.189,0.200177659074564,0.36,-0.998807827464768
"KIBWEZI",0,0,-1.0307568352142,0.121,253.12,0.558,0.305125456432086,0.14,1.349951411867
"KIENI",0,0,-1.00272818851114,9.657,174.808,0.3,0.329819055810326,0.08,-1.19592591965455
"KIGUMO",0,0,-0.953678056780771,9.586,139.783,0.291,0.095229861717042,0.1,-1.16538649692092
"KIHARU",0,0,-0.953678056780771,9.586,186.671,0.269,0.126096860939843,0.07,-1.19037329733934
"KILGORIS",0,0,1.48131062554813,1.132,198.722,0.504,-0.299867728334805,7.05,0.303282105450833
"KILOME",0,0,-1.0307568352142,0.121,105.123,0.631,0.342165855499446,0.13,1.45267492469829
"KIMILILI",0,0,-0.133840140716078,0.111,311.867,0.525,-0.238133729889204,3.07,0.608676332787115
"KINANGO",11,1,-0.123329398202428,0.105,241.658,0.868,0.953332440110897,4.96,1.41935919080706
"KINANGOP",0,0,-0.939663733429238,9.566,171.226,0.551,1.2928694315617,0.05,-1.21813640891537
"KIPIPIRI",0,0,-0.939663733429238,9.566,89.054,0.593,1.39164382907466,0.07,-1.20147854196975
"KIPKELION",0,0,-0.126832979040311,0.36,180.865,0.411,-0.102318933308881,8,-0.196453902917628
"KISAUNI",0,0,1.99283342787909,1.253,373.035,0.383,-0.225786930200083,6.38,0.492071264167807
"KISUMU RURAL",0,0,-0.522737613721125,0.079,182.29,0.455,-1.26291810408618,9.86,-1.19314960849695
"KISUMU TOWN EAST",0,0,-0.522737613721125,0.079,278.626,0.437,-0.898687513257135,9.71,-1.12929445187209
"KISUMU TOWN WEST",12,1,-0.522737613721125,0.079,189.93,0.422,-1.2443979045525,9.66,-1.09042609566565
"KITUI CENTRAL",0,0,-1.02725325437632,0.036,206.306,0.631,-0.324561327713045,0.31,1.11951758578599
"KITUI SOUTH",0,0,-1.02725325437632,0.036,155.589,0.639,-0.509763323049848,0.04,1.25278052135091
"KITUI WEST",0,0,-1.02725325437632,0.036,176.653,0.608,-0.201093330821843,0.07,1.33606985607899
"KITUTU CHACHE",0,0,-1.1148427753234,0.014,206.513,0.534,-0.466549524137927,5.35,1.2444515878781
"KITUTU MASABA",0,0,-1.1148427753234,0.014,197.432,0.441,-1.06536930906026,4.29,1.21391216514447
"KONOIN",0,0,-0.126832979040311,0.36,210.095,0.342,-0.861647114189774,9.34,-0.923847426209499
"KURESOI",18,1,1.01883795494753,5.965,198.543,0.431,0.298952056587525,7.12,0.292176860820423
"KURIA",0,0,0.216517943072252,0.014,194.053,0.577,-1.20118410564058,4.31,1.26666207713892
"KWANZA",11,1,1.31664232616761,0.958,250.284,0.505,0.187830859385444,4.46,1.29442518871495
"LAGDERA",0,0,-0.214422499987394,0.14,164.83,0.401,-1.25674470424162,4.24,1.12507020810119
"LAIKIPIA EAST",0,0,0.657969128645549,6.775,169.762,0.482,0.484154051924329,1.71,-0.246427503754474
"LAIKIPIA WEST",0,0,0.657969128645549,6.775,253.826,0.481,0.508847651302569,1.21,-0.551821731090756
"LAISAMIS",0,0,1.98582626620332,0.083,42.178,0.792,2.62632379798668,4.41,1.20835954282927
"LAMU EAST",0,0,1.69502905665901,2.655,18.603,0.246,-0.861647114189774,6.63,0.52816330921664
"LAMU WEST",0,0,1.69502905665901,2.655,61.869,0.325,-1.20735750548514,4.12,1.11951758578599
"LANGATA",16,1,1.90874748776989,3.237,375.674,0.205,-0.985115111080976,6.8,0.286624238505218
"LARI",0,0,-0.445658835287692,8.798,146.279,0.306,0.249564857831045,0.09,-1.18759698618174
"LIKONI",0,0,1.99283342787909,1.253,142.598,0.399,-0.0652785342415207,6.95,0.225545393037961
"LIMURU",12,1,-0.445658835287692,8.798,149.203,0.212,0.163137260007203,0.56,-0.890531692318268
"LUGARI",0,0,-0.862584954995806,0.083,269.514,0.48,-0.744352517143132,6.32,0.661426244781563
"LURAMBI",3,1,-0.862584954995806,0.083,232.405,0.526,-0.392468726003206,6.78,0.455979219118974
"MACHAKOS TOWN",0,0,-1.0307568352142,0.121,244.219,0.502,0.0520160628051213,8.49,-0.654545243922051
"MAGARINI",0,0,-0.589305649640908,0.067,155.317,0.739,0.54588805036993,5.87,0.891860070862576
"MAKADARA",1,1,1.90874748776989,3.237,258.398,0.298,-1.58393489600331,4.08,1.38049083460063
"MAKUENI",0,0,-1.0307568352142,0.121,265.183,0.674,0.298952056587525,0.09,1.25278052135091
"MALAVA",0,0,-0.862584954995806,0.083,200.247,0.484,-0.244307129733764,5.59,1.11396496347078
"MALINDI",0,0,-0.589305649640908,0.067,232.496,0.654,0.496500851613449,6.62,0.308834727766038
"MANDERA CENTRAL",0,0,1.42525333214199,0.028,119.831,0.898,1.66944682207987,3.63,0.850215403498537
"MANDERA EAST",0,0,1.42525333214199,0.028,100.765,0.863,1.55832562487779,5.06,1.4582275470135
"MANDERA WEST",0,0,1.42525333214199,0.028,98.194,0.801,1.31756303093994,5.19,1.39714870154624
"MANYATTA",0,0,0.983802146568696,0.551,187.62,0.338,-0.966594911547296,0.21,-1.06543929524723
"MARAGWA",0,0,-0.953678056780771,9.586,147.368,0.287,-0.225786930200083,0.08,-1.06543929524723
"MARAKWET EAST",0,0,-0.65587368556069,0.298,73.622,0.741,2.23122620793484,8.54,-0.496295507938705
"MARAKWET WEST",0,0,-0.65587368556069,0.298,104.744,0.605,1.40399062876378,9.2,-0.857215958427037
"MASINGA",0,0,-1.0307568352142,0.121,141.625,0.616,0.101403261561602,0.1,1.42491181312227
"MATHIOYA",0,0,-0.953678056780771,9.586,96.865,0.28,0.156963860162643,0.11,-1.15150494113291
"MATHIRA",4,1,-1.00272818851114,9.657,173.413,0.267,0.366859454877687,0.07,-1.19592591965455
"MATUGA",0,0,-0.123329398202428,0.105,179.73,0.606,0.706396446328492,6.28,0.617005266259922
"MATUNGU",0,0,-0.862584954995806,0.083,133.113,0.498,-0.349254927091286,8.19,-0.321387905009743
"MBITA",0,0,0.216517943072252,0.014,84.463,0.519,-0.793739715899613,9.95,-1.23479427586099
"MBOONI",0,0,-1.0307568352142,0.121,220.493,0.672,0.335992455654886,0.07,1.33884616723659
"MIGORI",3,1,0.216517943072252,0.014,159.495,0.425,-0.0591051343969606,9.6,-1.06543929524723
"MOGOTIO",0,1,-0.193401014960094,0.72,66.62,0.555,0.502674251458009,9.25,-0.823900224535807
"MOLO",2,1,1.01883795494753,5.965,263.416,0.443,0.298952056587525,2.33,0.0756245905274227
"MOSOP",0,0,0.367171919101235,0.167,161.385,0.436,0.126096860939843,9.49,-1.02101831672559
"MOYALE",0,0,1.98582626620332,0.083,75.782,0.598,0.0890564618724819,4.52,1.34162247839419
"MSAMBWENI",0,0,-0.123329398202428,0.105,313.753,0.692,0.718743246017613,6.01,0.716952467933614
"MT ELGON",11,1,-0.133840140716078,0.111,225.493,0.589,0.465633852390648,7.45,0.0534141012666022
"MUHORONI",0,0,-0.522737613721125,0.079,124.145,0.442,-0.60236432071825,9.86,-1.18759698618174
"MUKURWE-INI",0,0,-1.00272818851114,9.657,100.17,0.341,0.397726454100487,0.02,-1.23757058701859
"MUMIAS",0,0,-0.862584954995806,0.083,207.276,0.519,-0.423335725226007,7.98,-0.213111769863243
"MUTITO",0,0,-1.02725325437632,0.036,105.465,0.651,0.0458426629605612,0.07,1.07787291842195
"MVITA",25,1,1.99283342787909,1.253,105.549,0.298,-0.0652785342415207,6.85,0.317163661238845
"MWALA",0,0,-1.0307568352142,0.121,205.2,0.615,0.0643628624942415,0.09,1.22224109861728
"MWATATE",0,0,0.475782925075617,0.15,80.636,0.479,-0.441855924759687,5.67,0.919623182438601
"MWEA",0,0,-1.05878548191727,9.704,163.156,0.297,-0.522110122738969,0.05,-1.19870223081215
"MWINGI NORTH",0,0,-1.02725325437632,0.036,198.481,0.645,0.360686055033127,0.05,1.07509660726434
"MWINGI SOUTH",0,0,-1.02725325437632,0.036,184.301,0.584,-0.0282381351741601,0.06,1.31663567797577
"N.MUGIRANGO BORABU",11,1,-1.1148427753234,0.014,220.327,0.482,-1.1826639061069,4.11,1.15560963083482
"NAIVASHA",49,1,1.01883795494753,5.965,280.42,0.382,0.206351058919124,1.95,-0.00488843304305142
"NAKURU TOWN",90,1,1.01883795494753,5.965,258.847,0.454,0.249564857831045,4.11,1.09453078536756
"NAMBALE",30,1,0.94526275735198,0.072,212.938,0.681,0.206351058919124,8.01,-0.265861681857692
"NAROK NORTH",4,1,1.48131062554813,1.132,205.183,0.262,-1.28761170346442,6.63,0.567031665423076
"NAROK SOUTH",0,0,1.48131062554813,1.132,267.199,0.271,-1.3678659014437,7.95,-0.163138169026397
"NDARAGWA",0,0,-0.939663733429238,9.566,96.22,0.384,1.03358663809018,0.08,-1.19037329733934
"NDHIWA",0,0,0.216517943072252,0.014,141.116,0.441,-1.53454769724683,9.95,-1.23757058701859
"NDIA",0,0,-1.05878548191727,9.704,110.586,0.231,-0.318387927868485,0.08,-1.19592591965455
"NITHI",0,0,-0.505219709531708,0.143,251.043,0.312,-1.44812009942298,0.19,-1.11263658492647
"NORTH HORR",4,1,1.98582626620332,0.083,59.427,0.947,2.23122620793484,5.25,1.23334634324769
"NORTH IMENTI",0,0,-0.505219709531708,0.143,258.842,0.239,-1.02215551014834,0.4,-0.965492093573537
"NTONYIRI",0,0,-0.505219709531708,0.143,214.154,0.201,-0.657924919319291,0.38,-1.01268938325278
"NYAKACH",0,0,-0.522737613721125,0.079,109.931,0.492,-0.664098319163851,9.94,-1.23479427586099
"NYANDO",0,0,-0.522737613721125,0.079,109.424,0.495,-0.769046116521373,9.92,-1.22646534238818
"NYARIBARI CHACHE",24,1,-1.1148427753234,0.014,119.367,0.482,-0.318387927868485,4.17,1.15838594199242
"NYARIBARI MASABA",0,0,-1.1148427753234,0.014,115.16,0.488,-0.330734727557605,3.69,0.908517937808191
"NYATIKE",0,0,0.216517943072252,0.014,121.787,0.438,-0.0591051343969606,9.93,-1.21813640891537
"NYERI TOWN",0,0,-1.00272818851114,9.657,115.889,0.438,0.261911657520165,0.21,-1.10708396261127
"OL_KALOU",0,0,-0.939663733429238,9.566,185.115,0.463,1.02123983840106,0.05,-1.20425485312736
"OTHAYA",0,1,-1.00272818851114,9.657,101.239,0.29,0.348339255344006,0.04,-1.22368903123058
"RANGWE",0,0,0.216517943072252,0.014,166.18,0.419,-1.62097529507067,9.96,-1.24312320933379
"RARIEDA",0,0,-0.946670895105005,0.005,122.263,0.261,-2.70132026786868,9.77,-1.1459523188177
"RONGAI",2,1,1.01883795494753,5.965,154.745,0.448,0.311298856276646,4.7,1.39714870154624
"RONGO",0,0,0.216517943072252,0.014,187.732,0.388,-0.077625333930641,9.94,-1.23201796470338
"RUNYENJES",0,0,0.983802146568696,0.551,180.469,0.372,-1.07771610874938,0.17,-1.10153134029606
"SABATIA",0,0,-0.862584954995806,0.083,146.189,0.416,-0.917207712790815,8.55,-0.637887376976435
"SABOTI",15,1,1.31664232616761,0.958,411.628,0.488,0.348339255344006,4.13,1.12784651925879
"SAKU",10,1,1.98582626620332,0.083,38.552,0.94,2.62632379798668,4,1.2388989655629
"SAMBURU EAST",0,0,0.314618206532985,0.282,47.833,0.677,1.94724981508507,7.22,0.236650637668371
"SAMBURU WEST",0,0,0.314618206532985,0.282,151.387,0.809,2.12627841057732,8.29,-0.324164216167346
"SHINYALU",0,0,-0.862584954995806,0.083,140.832,0.576,-0.404815525692326,6.85,0.342150461657268
"SIAKAGO",0,0,0.983802146568696,0.551,85.546,0.552,-0.657924919319291,0.12,-1.11818920724168
"SIGOR",0,0,-0.27398337423141,0.272,143.434,0.708,1.29904283140626,9.46,-0.993255205149563
"SIRISIA",0,0,-0.133840140716078,0.111,246.7,0.509,-0.219613530355523,2.77,0.400452995966922
"SOTIK",0,0,-0.126832979040311,0.36,146.291,0.539,-0.861647114189774,9.61,-1.07099191756243
"SOUTH IMENTI",0,0,-0.505219709531708,0.143,187.255,0.234,-0.991288510925536,0.29,-1.05988667293202
"SOUTH MUGIRANGO",0,0,-1.1148427753234,0.014,141.478,0.66,0.496500851613449,3.76,0.997359894851473
"STAREHE",6,1,1.90874748776989,3.237,307.577,0.208,-1.2135309053297,3.28,0.847439092340935
"SUBUKIA",0,0,1.01883795494753,5.965,175.235,0.342,0.261911657520165,0.38,-0.998807827464768
"TAVETA",0,0,0.475782925075617,0.15,66.005,0.513,0.0211490635823207,3.34,1.16116225315002
"TETU",0,0,-1.00272818851114,9.657,91.841,0.349,0.428593453323288,0.03,-1.22646534238818
"THARAKA",0,0,-0.505219709531708,0.143,119.873,0.487,-0.664098319163851,0.43,-0.932176359682307
"TIGANIA EAST",0,0,-0.505219709531708,0.143,151.446,0.359,-1.29378510330898,0.29,-1.04600511714401
"TIGANIA WEST",0,0,-0.505219709531708,0.143,138.437,0.364,-1.31230530284266,0.2,-1.10986027376887
"TINDERET",0,0,0.367171919101235,0.167,212.607,0.544,0.101403261561602,8.78,-0.607347954242807
"TURKANA CENTRAL",40,1,-0.862584954995806,0.072,218.181,0.969,2.2373996077794,4.27,1.14450438620441
"TURKANA NORTH",10,1,-0.862584954995806,0.072,236.918,0.88,1.89786261632859,2.68,0.239426948825974
"TURKANA SOUTH",0,0,-0.862584954995806,0.072,83.85,0.961,2.91030019083645,3.94,0.964044160960242
"UGENYA",0,0,-0.946670895105005,0.005,202.443,0.374,-1.22587770501882,9.92,-1.22091272007297
"URIRI",0,0,0.216517943072252,0.014,99.58,0.434,-0.108492333153441,9.52,-1.01546569441038
"VIHIGA",0,0,-0.862584954995806,0.083,102.947,0.397,-0.849300314500654,8.93,-0.765597690226153
"VOI",0,0,0.475782925075617,0.15,92.151,0.604,0.342165855499446,4.45,1.47210910280151
"WAJIR EAST",0,0,1.33065664951914,0.039,130.424,0.763,1.05828023746842,5.43,1.08620185189475
"WAJIR NORTH",0,0,1.33065664951914,0.039,75.433,0.934,1.63857982285707,4.85,1.44989861354069
"WAJIR SOUTH",0,0,1.33065664951914,0.039,96.177,0.899,1.55215222503323,6.65,0.664202555939165
"WAJIR WEST",0,0,1.33065664951914,0.039,86.809,0.824,1.44720442767571,3.59,0.775255002243268
"WEBUYE",0,0,-0.133840140716078,0.111,233.288,0.517,-0.262827329267444,3.88,0.969596783275447
"WEST MUGIRANGO",16,1,-1.1148427753234,0.014,153.619,0.464,-1.12710330750586,3.89,1.00568882832428
"WESTLANDS",1,1,1.90874748776989,3.237,271.894,0.153,-0.762872716676813,5.24,1.19725429819886
"WUNDANYI",0,0,0.475782925075617,0.15,68.142,0.588,-0.0714519340860808,6.85,0.342150461657268
"YATTA",0,0,-1.0307568352142,0.121,166.731,0.604,0.0890564618724819,0.21,-1.06543929524723
